baseline_total,cores,current_total,layer,logN,model,speedup,total_32,total_40,type
,40,,Linear_784_128,13,mnistfc,,1.841951,2.776758,32_better_than_40
,40,,Activation_ReLU3,13,mnistfc,,0.063496,0.072307,32_better_than_40
1.610304,40,0.036890,Activation_ReLU3,13,bcwfc,43.65,,,superlinear
7.303169,40,0.173993,Linear_32_16,13,bcwfc,41.97,,,superlinear
5.564496,4,1.290404,Linear_16_10,13,bcwfc,4.31,,,superlinear
5.564496,40,0.133725,Linear_16_10,13,bcwfc,41.61,,,superlinear
1.607834,4,0.367222,Activation_ReLU3,13,audio1d,4.38,,,superlinear
1.607834,40,0.036968,Activation_ReLU3,13,audio1d,43.49,,,superlinear
0.372125,4,0.087141,Flatten,13,audio1d,4.27,,,superlinear
0.372125,40,0.008644,Flatten,13,audio1d,43.05,,,superlinear
