Cut Position,1 cores,2 cores,4 cores,8 cores,16 cores,32 cores,40 cores
All Client,0.66 minutes,0.47 minutes,0.46 minutes,0.63 minutes,0.61 minutes,0.46 minutes,0.43 minutes
Conv2D_1_6_5_5,1.57 hours,58.36 minutes,28.11 minutes,17.46 minutes,8.65 minutes,4.28 minutes,3.90 minutes
Activation_ReLU3,2.05 hours,1.29 hours,37.43 minutes,23.25 minutes,11.89 minutes,5.60 minutes,5.17 minutes
Conv2D_6_16_5_5,5.87 hours,3.92 hours,1.82 hours,1.17 hours,35.28 minutes,16.22 minutes,14.84 minutes
Activation_ReLU3,6.37 hours,4.22 hours,1.98 hours,1.27 hours,38.01 minutes,17.59 minutes,16.01 minutes
Linear_256_120,16.82 hours,10.14 hours,5.34 hours,3.23 hours,1.71 hours,45.77 minutes,41.92 minutes
Activation_ReLU3,17.30 hours,10.43 hours,5.51 hours,3.32 hours,1.76 hours,47.17 minutes,43.18 minutes
Linear_120_84,24.55 hours,14.69 hours,7.75 hours,4.77 hours,2.53 hours,1.13 hours,1.00 hours
Activation_ReLU3,25.06 hours,15.01 hours,7.90 hours,4.87 hours,2.58 hours,1.15 hours,1.02 hours
Linear_84_10,26.87 hours,16.01 hours,8.44 hours,5.19 hours,2.76 hours,1.23 hours,1.10 hours
